"F7"	"FC5"	"T."	"P7"	"O1"	"FC6"	"F8"	"eyeDetect"
3977.44	4121.03	4331.79	4609.74	4055.38	4190.77	4589.23	0
3999.49	4096.41	4328.72	4604.62	4039.49	4188.21	4604.1	1
3974.36	4091.79	4337.44	4618.46	4090.77	4189.23	4571.28	1
3978.46	4107.69	4343.08	4618.46	4052.82	4202.05	4602.56	1
3988.72	4133.85	4344.62	4621.54	4055.38	4197.44	4585.64	0
3991.79	4118.97	4330.26	4624.62	4092.82	4201.03	4605.13	1
4017.44	4122.05	4346.67	4617.95	4054.87	4188.21	4616.41	0
4020.51	4111.28	4332.31	4627.18	4088.72	4179.49	4566.67	0
4018.46	4129.23	4347.69	4631.28	4069.74	4194.87	4597.44	0
3993.85	4107.18	4324.1	4601.03	4046.15	4196.41	4586.15	1
3996.41	4105.13	4343.08	4605.13	4067.18	4196.92	4616.41	1
3995.9	4109.74	4344.1	4614.87	4055.9	4193.85	4592.82	1
4020	4138.46	4359.49	4630.77	4095.9	4221.54	4636.41	1
3984.62	4104.1	4346.15	4624.62	4103.08	4224.1	4622.05	1
4017.95	4101.03	4338.97	4615.9	4050.77	4193.85	4588.72	0
4013.33	4111.79	4341.54	4613.85	4090.77	4206.67	4605.13	1
4010.77	4119.49	4326.67	4612.31	4060	4179.49	4580.51	0
3959.49	4118.46	4329.74	4622.05	4052.31	4190.77	4587.69	0
4007.69	4126.15	4329.74	4603.59	4062.05	4189.74	4589.23	1
4001.54	4125.13	4342.05	4610.26	4053.33	4209.74	4609.23	1
3990.77	4115.9	4328.21	4615.38	4070.26	4195.38	4602.56	0
3990.77	4102.56	4345.13	4622.56	4103.59	4185.13	4566.15	0
3982.05	4100	4325.64	4616.41	4050.77	4186.67	4564.62	1
4017.44	4121.54	4346.15	4629.23	4081.03	4195.38	4612.31	0
3985.13	4108.72	4332.31	4598.46	4041.54	4189.23	4588.72	0
3995.38	4124.62	4344.62	4628.72	4075.38	4207.18	4610.26	0
4005.64	4121.54	4340.51	4615.38	4047.69	4210.77	4586.67	1
4018.97	4128.21	4346.15	4628.21	4084.1	4201.54	4605.64	0
3997.95	4133.33	4323.08	4628.21	4061.03	4213.33	4627.69	0
3998.46	4126.67	4349.23	4631.79	4084.62	4210.77	4617.95	0
4008.72	4128.21	4340	4608.72	4057.95	4193.33	4581.54	0
3982.05	4108.72	4332.82	4619.49	4060	4196.92	4600	0
4015.38	4104.62	4331.28	4617.44	4044.1	4180.51	4604.1	1
4023.59	4118.46	4328.72	4619.49	4068.72	4198.46	4601.54	0
4008.21	4142.05	4343.08	4602.05	4084.1	4225.13	4631.79	0
4017.95	4105.64	4336.41	4617.44	4049.74	4190.77	4610.26	1
4018.97	4132.82	4328.72	4597.44	4054.36	4186.15	4590.77	1
3993.33	4111.28	4334.87	4612.31	4047.18	4195.9	4602.05	1
4010.77	4124.62	4334.87	4614.87	4093.33	4224.62	4611.28	1
3994.36	4140.51	4354.36	4633.85	4084.1	4210.77	4624.1	1
4007.18	4136.92	4344.62	4608.21	4064.1	4201.54	4596.41	0
3979.49	4107.69	4323.59	4616.92	4077.95	4178.97	4573.85	0
3993.85	4122.56	4336.92	4607.69	4056.41	4207.69	4591.28	1
4017.95	4120.51	4343.59	4612.31	4053.85	4199.49	4584.62	1
4007.69	4107.69	4328.21	4600	4086.67	4202.05	4597.44	1
4009.74	4127.18	4332.31	4602.05	4060	4184.1	4581.54	1
3997.95	4112.82	4338.46	4618.46	4069.23	4222.05	4598.97	1
4003.59	4122.05	4326.15	4618.97	4071.79	4204.62	4605.64	0
4005.64	4129.23	4327.18	4618.46	4044.62	4195.9	4610.77	1
3993.85	4114.87	4340	4606.15	4068.72	4193.33	4617.44	1
3991.79	4108.21	4348.72	4625.64	4073.33	4192.31	4592.31	0
3987.18	4096.92	4332.31	4603.59	4049.74	4191.28	4593.85	0
4004.1	4118.97	4326.15	4614.36	4065.64	4188.72	4576.92	0
3997.44	4120.51	4334.87	4622.05	4065.13	4210.26	4611.28	0
4008.21	4122.05	4343.59	4617.44	4050.26	4210.77	4615.9	1
4004.62	4136.41	4348.72	4626.15	4073.85	4206.15	4591.79	0
4028.72	4131.79	4336.41	4612.31	4046.67	4197.95	4617.44	1
3981.03	4099.49	4331.79	4611.28	4071.28	4209.74	4596.41	0
4017.44	4121.03	4349.74	4604.1	4046.15	4188.72	4594.87	1
4014.36	4101.03	4341.54	4624.1	4106.15	4198.46	4622.56	1
3964.1	4091.28	4327.69	4611.79	4063.59	4195.38	4604.1	1
4008.21	4111.28	4341.54	4615.9	4057.95	4189.74	4607.69	1
4000.51	4121.54	4325.64	4609.23	4041.03	4190.77	4608.72	1
3972.31	4120	4333.33	4615.9	4079.49	4195.38	4601.54	0
4024.62	4105.13	4352.31	4616.41	4089.23	4206.15	4610.77	1
4006.15	4105.64	4318.46	4601.54	4063.59	4185.64	4579.49	0
4003.59	4120	4352.82	4620.51	4069.23	4195.38	4599.49	0
3994.36	4125.64	4335.9	4609.74	4052.31	4197.95	4600	0
4024.1	4121.54	4356.41	4634.87	4082.05	4210.77	4625.64	0
4016.92	4121.54	4347.69	4621.54	4082.05	4194.87	4578.46	1
3990.26	4101.03	4340.51	4625.13	4069.74	4177.44	4604.62	0
4036.41	4110.77	4349.74	4627.69	4073.33	4191.79	4603.08	0
4011.28	4136.41	4345.13	4608.72	4090.26	4214.87	4632.82	0
4006.67	4109.23	4338.46	4614.87	4056.41	4206.15	4604.1	1
4007.18	4136.41	4348.72	4622.56	4055.9	4177.44	4611.79	1
3993.85	4108.72	4335.38	4614.87	4055.9	4191.28	4590.26	0
4007.18	4114.87	4336.92	4610.77	4087.69	4215.38	4605.13	1
3996.41	4127.18	4345.13	4628.21	4082.05	4208.72	4617.95	0
3983.59	4108.21	4322.05	4608.21	4072.82	4195.38	4584.1	0
3984.62	4090.77	4329.23	4609.23	4062.56	4192.82	4595.9	1
4002.56	4121.54	4336.92	4620.51	4068.72	4187.18	4593.85	0
4032.82	4138.46	4338.46	4615.38	4078.97	4189.23	4592.82	1
4007.18	4121.03	4360	4632.31	4093.33	4215.38	4603.08	1
4008.72	4105.13	4335.9	4604.62	4037.95	4202.56	4610.26	1
3963.59	4107.18	4323.08	4602.56	4071.79	4176.92	4572.31	0
4021.03	4121.03	4344.1	4616.92	4084.62	4198.46	4573.33	1
4020.51	4141.54	4346.67	4618.46	4068.21	4197.44	4603.59	1
4004.62	4120	4344.62	4615.9	4057.44	4196.92	4611.79	1
4014.87	4111.28	4333.33	4598.46	4048.21	4183.59	4570.26	0
4006.15	4106.15	4336.92	4617.44	4071.79	4200	4596.41	0
3975.9	4102.05	4318.46	4626.67	4088.72	4206.67	4593.85	0
3968.72	4108.21	4336.92	4608.72	4067.69	4196.41	4597.95	1
3978.97	4124.1	4332.31	4602.05	4051.79	4197.95	4585.64	1
4011.28	4122.56	4334.36	4602.05	4100.51	4221.03	4630.26	0
4004.1	4123.08	4332.82	4612.31	4064.62	4182.56	4603.59	1
4016.41	4120	4343.59	4621.54	4055.9	4204.1	4586.67	1
4024.1	4115.38	4349.74	4618.46	4109.74	4211.79	4607.18	1
4006.15	4120	4318.97	4602.56	4060.51	4193.85	4582.56	1
3998.46	4135.38	4328.21	4615.38	4046.15	4184.62	4610.26	1
3989.23	4103.59	4341.54	4621.54	4067.18	4198.97	4596.41	0
3992.31	4107.18	4332.82	4621.54	4080	4195.9	4592.82	0
3998.46	4122.56	4342.56	4617.95	4067.69	4205.13	4604.1	0
4020	4136.41	4338.46	4608.21	4057.95	4191.28	4595.38	1
4009.23	4101.03	4343.08	4611.28	4047.69	4207.18	4631.79	1
3994.87	4121.03	4343.08	4627.69	4058.46	4176.41	4605.64	0
4016.92	4108.72	4343.59	4620	4051.79	4190.77	4613.85	1
4018.46	4121.54	4347.18	4633.85	4082.56	4197.44	4614.87	0
4026.15	4119.49	4334.87	4621.54	4059.49	4193.33	4580	1
3972.82	4116.92	4332.31	4618.97	4061.03	4209.23	4593.85	1
4012.31	4123.08	4346.67	4614.36	4084.1	4211.28	4601.54	1
3991.28	4123.08	4348.21	4631.79	4086.67	4229.23	4632.82	0
4021.54	4119.49	4334.36	4608.21	4084.62	4197.44	4610.26	0
3997.95	4106.67	4350.77	4629.74	4069.74	4206.67	4614.36	0
3966.67	4110.26	4325.13	4608.72	4075.9	4181.03	4607.69	1
3972.82	4097.95	4329.74	4615.9	4061.03	4197.95	4575.38	1
3990.26	4120.51	4331.28	4629.74	4085.13	4208.21	4601.54	0
4019.49	4116.41	4326.67	4625.13	4090.26	4191.28	4585.64	0
3997.95	4114.87	4346.67	4625.13	4068.72	4187.69	4575.9	0
3991.79	4112.31	4327.18	4613.85	4076.41	4204.1	4595.38	0
4008.72	4125.64	4328.72	4600.51	4062.05	4190.77	4587.69	1
3982.56	4093.33	4335.38	4616.41	4063.59	4194.36	4602.05	0
3985.64	4094.87	4324.1	4617.44	4083.59	4202.56	4589.74	1
3973.85	4096.92	4332.31	4615.38	4059.49	4182.05	4579.49	0
3973.85	4131.79	4326.67	4607.69	4061.03	4170.77	4607.69	1
3980	4110.26	4327.18	4617.44	4075.9	4224.1	4613.33	1
4005.64	4124.1	4336.92	4623.08	4083.59	4221.54	4616.41	1
3998.46	4108.21	4335.9	4631.28	4089.74	4203.08	4601.03	0
3997.44	4112.82	4335.38	4604.62	4047.18	4202.05	4582.05	1
4004.1	4113.85	4357.95	4631.28	4107.18	4214.36	4613.33	1
4035.38	4134.36	4349.23	4616.41	4048.21	4183.59	4567.18	1
3984.1	4090.77	4321.54	4603.08	4041.54	4173.85	4586.67	0
3999.49	4114.36	4333.33	4616.92	4060.51	4205.13	4615.9	0
4011.79	4135.38	4350.77	4627.18	4071.28	4223.08	4617.44	1
3993.85	4108.21	4341.54	4614.36	4073.33	4189.74	4618.97	1
3989.74	4106.15	4335.38	4605.13	4046.67	4213.33	4608.72	1
4029.74	4121.54	4333.85	4620.51	4087.18	4204.62	4597.95	0
4027.69	4113.85	4336.41	4614.36	4051.28	4201.54	4590.77	1
3989.23	4136.92	4338.46	4628.21	4058.46	4194.87	4586.15	0
3975.9	4109.23	4328.72	4607.69	4041.03	4192.82	4577.95	1
3969.23	4091.79	4336.41	4613.85	4060.51	4186.15	4584.1	0
3998.97	4108.72	4333.33	4614.36	4051.79	4186.15	4608.72	0
3989.74	4118.46	4347.69	4634.36	4097.95	4209.74	4613.33	1
4031.79	4132.31	4340.51	4624.1	4067.69	4198.46	4616.41	0
3995.38	4102.05	4346.15	4629.74	4064.1	4206.67	4614.36	0
4015.9	4117.95	4323.59	4597.95	4067.18	4191.79	4600	0
4017.95	4118.97	4330.77	4606.15	4064.1	4201.54	4603.08	0
4003.08	4104.1	4327.18	4626.15	4076.41	4189.23	4597.44	1
4014.36	4136.41	4327.69	4613.33	4068.72	4204.1	4592.82	1
3971.79	4105.64	4332.31	4620.51	4080.51	4184.62	4572.31	0
4001.54	4116.92	4345.64	4627.69	4083.08	4207.69	4591.79	1
3975.38	4095.9	4337.44	4614.87	4042.56	4201.03	4588.21	0
4010.26	4134.87	4334.36	4603.59	4060	4190.77	4592.82	1
3993.85	4118.46	4342.05	4616.41	4060	4218.46	4610.26	0
4008.72	4121.03	4337.95	4618.97	4057.44	4206.15	4613.85	0
4006.15	4120	4329.74	4620	4071.28	4190.77	4595.9	0
4009.23	4127.69	4327.18	4604.62	4039.49	4199.49	4617.95	1
4008.21	4100.51	4329.74	4614.87	4053.33	4185.64	4570.77	1
4018.97	4120	4328.72	4598.46	4088.72	4179.49	4598.46	0
3991.28	4142.05	4344.62	4618.46	4050.26	4209.74	4597.95	0
3994.87	4112.31	4334.87	4602.56	4068.21	4190.77	4619.49	1
4006.15	4109.74	4342.56	4618.97	4050.26	4191.28	4583.08	1
4017.44	4135.9	4341.54	4616.41	4076.92	4197.95	4589.74	1
4024.62	4122.05	4345.13	4616.41	4074.36	4204.62	4617.44	1
4042.56	4144.62	4346.15	4615.9	4047.69	4184.1	4564.62	1
3985.13	4088.72	4346.67	4628.21	4076.92	4209.23	4603.59	0
4010.26	4092.82	4341.54	4624.62	4105.64	4202.05	4607.18	1
3996.92	4109.74	4340.51	4626.67	4089.23	4199.49	4585.64	0
3985.64	4103.59	4331.79	4621.03	4071.28	4194.36	4595.38	0
4005.13	4118.97	4332.82	4606.15	4053.85	4196.92	4569.74	1
4016.92	4132.82	4335.9	4618.46	4077.95	4205.64	4609.23	0
3998.97	4106.67	4321.03	4604.1	4043.08	4187.18	4594.36	1
3981.54	4102.05	4324.1	4599.49	4056.92	4195.38	4580.51	0
4001.03	4111.79	4343.08	4624.1	4070.26	4194.36	4598.97	0
4004.62	4140.51	4350.26	4634.36	4087.69	4220.51	4626.67	0
3991.28	4093.33	4332.31	4613.33	4056.92	4207.69	4606.67	1
3994.36	4102.56	4330.77	4616.41	4045.13	4198.97	4605.13	0
3982.56	4118.97	4334.36	4626.67	4070.26	4207.69	4608.21	0
3990.26	4122.05	4317.95	4608.72	4046.67	4180	4592.82	1
4018.97	4139.49	4348.21	4628.21	4083.08	4206.15	4608.72	1
3977.44	4108.21	4340	4613.33	4091.28	4198.97	4576.92	1
4009.23	4120.51	4358.97	4630.26	4081.03	4197.95	4607.69	0
4019.49	4105.64	4335.9	4618.46	4104.62	4208.72	4617.44	1
3994.87	4090.26	4342.56	4612.31	4048.21	4186.15	4609.23	1
4013.85	4119.49	4333.85	4626.15	4074.36	4186.15	4605.13	0
4008.21	4121.54	4335.9	4629.74	4087.69	4195.9	4576.92	0
4000	4105.13	4334.87	4608.21	4057.95	4187.69	4598.97	1
3994.36	4111.79	4330.26	4622.56	4079.49	4194.36	4580.51	1
3977.44	4102.56	4320	4604.62	4046.15	4179.49	4572.31	1
3991.79	4124.62	4322.56	4623.59	4060.51	4223.08	4627.69	0
4022.56	4125.64	4341.54	4631.79	4082.56	4207.18	4610.26	0
3967.18	4104.1	4330.26	4621.54	4053.33	4191.79	4576.41	0
4002.05	4140	4357.44	4637.44	4083.08	4222.56	4633.85	0
4002.56	4123.08	4347.18	4618.46	4074.87	4193.33	4601.54	0
3975.9	4098.97	4335.9	4617.44	4060.51	4188.72	4592.31	0
3999.49	4094.36	4330.26	4607.69	4041.03	4186.67	4599.49	1
3991.79	4108.21	4326.15	4616.92	4084.1	4191.79	4585.13	1
3993.33	4125.13	4344.1	4630.77	4080	4205.13	4609.23	0
3975.9	4118.46	4331.28	4615.38	4063.08	4197.44	4603.08	0
4016.41	4138.46	4348.72	4615.9	4093.85	4200.51	4614.36	0
3993.33	4117.44	4321.54	4613.85	4053.85	4195.9	4598.97	0
4018.46	4109.23	4330.26	4605.64	4067.18	4196.41	4592.82	0
3984.62	4132.82	4333.33	4623.59	4073.85	4197.44	4601.54	0
4024.1	4121.54	4347.18	4617.95	4058.97	4197.95	4606.15	1
3963.59	4124.1	4333.33	4635.9	4085.64	4208.72	4610.77	0
3983.59	4121.54	4314.87	4621.54	4058.46	4188.21	4597.95	0
3993.33	4122.56	4335.9	4609.23	4067.18	4207.69	4611.28	0
4023.08	4135.9	4333.85	4609.23	4071.28	4192.31	4605.13	0
4003.59	4114.87	4360	4634.36	4090.26	4217.95	4615.9	1
3989.74	4108.72	4331.79	4606.15	4051.28	4205.64	4591.28	1
4014.87	4116.92	4337.44	4617.44	4058.97	4211.28	4606.15	0
4025.13	4127.18	4343.08	4620.51	4076.41	4214.87	4626.67	1
3996.41	4129.23	4325.64	4615.38	4052.31	4218.97	4617.95	0
3989.74	4103.08	4346.15	4615.9	4054.87	4180	4578.46	1
4011.79	4123.59	4336.92	4615.38	4074.36	4186.15	4603.59	0
4017.44	4106.67	4343.08	4618.97	4051.28	4194.36	4584.1	1
4001.03	4123.59	4331.28	4617.95	4071.28	4190.26	4597.44	0
3954.36	4120	4336.92	4629.74	4057.95	4208.72	4603.59	0
3991.28	4107.69	4339.49	4620	4080	4203.08	4586.15	1
4008.21	4100.51	4328.72	4600.51	4044.62	4200	4607.18	1
4013.85	4122.56	4333.85	4600	4027.18	4208.21	4602.05	1
4026.67	4115.38	4348.21	4625.13	4110.26	4216.41	4622.05	1
3973.85	4120	4326.15	4599.49	4053.85	4205.64	4581.03	1
4018.46	4113.85	4342.05	4636.41	4066.15	4198.46	4596.92	0
3995.38	4114.36	4328.21	4622.56	4078.97	4206.67	4598.46	0
3987.69	4107.69	4327.18	4603.59	4049.74	4193.33	4573.85	1
4002.56	4107.69	4338.97	4607.69	4040	4199.49	4596.92	1
4005.13	4118.46	4346.15	4607.18	4044.1	4205.13	4609.74	1
3974.87	4119.49	4330.26	4608.72	4057.44	4191.28	4591.79	0
3986.67	4106.67	4337.95	4626.67	4064.1	4204.1	4596.92	0
3967.69	4100	4321.54	4610.26	4078.97	4189.74	4582.05	0
4013.33	4120	4333.33	4616.92	4075.38	4189.74	4604.62	0
4013.85	4130.26	4350.77	4633.33	4087.69	4208.72	4614.87	0
3992.31	4100	4336.92	4614.36	4068.21	4196.92	4625.13	1
3996.92	4139.49	4341.54	4625.64	4063.59	4208.21	4612.31	0
3991.79	4124.62	4335.9	4614.87	4065.64	4208.21	4609.74	0
3967.18	4097.44	4336.92	4605.64	4072.31	4196.41	4589.23	1
3988.21	4118.97	4328.72	4616.92	4066.15	4194.87	4580	0
4048.21	4122.56	4363.08	4628.72	4070.26	4195.9	4608.72	0
3965.13	4094.87	4330.77	4615.9	4075.38	4218.97	4635.9	0
3994.87	4123.08	4329.74	4615.38	4051.28	4193.85	4611.28	1
3976.41	4105.13	4321.54	4626.67	4088.21	4206.67	4590.26	0
3974.87	4107.18	4325.13	4625.13	4083.08	4203.59	4592.31	0
4002.56	4111.28	4327.18	4600	4044.1	4198.97	4582.05	1
3999.49	4112.31	4342.56	4618.46	4060	4192.31	4606.15	0
4011.28	4122.05	4362.56	4632.31	4111.28	4226.67	4626.67	1
4016.41	4104.1	4335.9	4604.1	4066.15	4191.28	4591.79	0
3989.23	4096.41	4333.33	4602.05	4052.31	4202.56	4589.74	1
4029.74	4140.51	4347.69	4632.82	4069.23	4197.44	4606.15	0
3987.18	4109.23	4341.54	4611.28	4061.03	4214.87	4611.79	0
4001.03	4143.59	4358.46	4627.18	4069.23	4214.87	4624.62	0
4024.1	4120	4344.1	4618.97	4064.62	4211.28	4617.44	1
4010.77	4109.23	4332.82	4612.82	4040	4193.33	4612.82	1
3994.87	4102.05	4328.72	4598.46	4083.59	4206.15	4607.69	0
3988.72	4114.36	4326.67	4608.21	4063.08	4192.31	4578.97	0
4006.67	4136.41	4342.56	4630.26	4053.85	4215.38	4619.49	1
4001.03	4106.67	4332.82	4625.13	4079.49	4206.15	4605.64	0
3993.33	4111.79	4333.33	4617.95	4057.95	4181.54	4586.15	0
3990.26	4120	4328.21	4617.44	4071.28	4194.87	4599.49	0
4015.9	4111.79	4341.03	4632.82	4065.13	4198.46	4596.41	0
4033.33	4123.59	4342.05	4620.51	4075.38	4212.31	4620	0
4001.54	4117.44	4337.95	4611.28	4044.62	4192.31	4594.87	1
4017.44	4115.9	4331.79	4616.92	4067.69	4192.82	4599.49	1
4013.33	4107.18	4339.49	4616.92	4064.1	4195.38	4585.13	1
4002.05	4120	4344.1	4624.62	4072.31	4216.41	4615.38	0
3998.97	4114.87	4326.67	4601.03	4053.85	4193.85	4586.15	0
3998.97	4122.05	4352.82	4621.54	4068.72	4197.95	4600.51	0
4014.87	4125.13	4338.46	4627.18	4081.03	4203.08	4607.69	0
3976.41	4113.85	4333.85	4616.41	4039.49	4202.56	4596.92	0
3998.46	4108.21	4327.69	4613.85	4055.9	4192.31	4603.08	0
3996.41	4129.74	4349.23	4638.46	4099.49	4214.87	4618.46	1
4003.59	4121.54	4333.85	4612.82	4074.36	4216.92	4601.54	0
4001.54	4112.31	4342.05	4611.79	4066.15	4204.62	4636.41	1
4005.64	4127.18	4346.15	4615.38	4062.56	4205.64	4591.79	0
4026.15	4120	4353.33	4630.26	4107.18	4194.36	4577.95	0
4013.85	4132.82	4334.87	4603.59	4056.41	4177.44	4581.54	1
4007.69	4121.03	4335.38	4618.46	4054.36	4204.62	4581.03	1
4005.64	4109.74	4337.95	4623.59	4081.03	4212.31	4602.56	1
4007.69	4123.59	4341.03	4615.38	4045.64	4207.18	4592.31	1
3996.92	4120	4324.1	4616.41	4046.67	4193.85	4611.79	1
3989.23	4117.44	4336.92	4617.44	4058.97	4197.95	4598.46	0
4044.1	4132.31	4353.85	4631.28	4067.69	4204.1	4605.13	0
4029.23	4121.03	4337.95	4615.38	4072.82	4207.69	4608.72	0
4021.54	4111.28	4349.23	4632.31	4090.77	4230.77	4623.59	0
3976.92	4121.03	4350.77	4633.33	4079.49	4195.38	4595.9	0
3987.69	4124.1	4337.44	4628.72	4070.26	4206.67	4609.23	0
3976.41	4110.26	4338.46	4624.1	4077.44	4216.41	4620	0
4009.74	4105.64	4331.79	4609.23	4058.97	4202.56	4592.82	1
3973.33	4107.18	4343.59	4623.59	4106.15	4206.15	4595.9	1
3982.05	4121.03	4326.15	4615.38	4071.79	4180	4588.72	0
3992.82	4129.74	4340	4618.97	4045.64	4190.77	4570.77	1
4018.97	4124.1	4337.95	4625.64	4077.44	4183.59	4601.54	0
4015.9	4122.05	4341.54	4616.92	4072.31	4210.26	4605.64	0
4021.54	4140.51	4328.21	4617.95	4076.92	4199.49	4623.59	1
4015.9	4104.1	4340	4618.97	4056.92	4195.38	4586.67	1
3994.36	4128.21	4343.59	4610.77	4069.23	4205.13	4602.05	0
4006.15	4121.54	4330.77	4618.97	4067.69	4194.36	4594.36	0
3985.64	4115.9	4336.92	4612.82	4071.79	4211.28	4596.41	1
3990.26	4100	4335.38	4623.08	4056.41	4204.1	4596.41	0
4003.08	4106.67	4334.87	4617.44	4058.97	4187.18	4613.33	1
3999.49	4121.03	4330.77	4617.95	4073.85	4206.15	4596.92	0
4009.74	4137.44	4330.26	4611.28	4069.23	4198.97	4586.67	1
